parcel_number,taxable_building,taxable_land,market_value,zip_code
881548222,715820,306780,1022600,19103
888116452,313232,48168,401400,19103
888085013,209100,23200,232300,19103
888116400,278784,38016,316800,19103
888800184,1893700,214800,2148500,19103
888089494,477891,71409,549300,19103
888089010,150611,65000,500100,19103
82209800,484960,207840,692800,19103
881028330,838300,362700,1209000,19103
82085700,902853,403947,1346800,19103
81069600,569573,261127,870700,19103
888112354,131850,14650,146500,19103
874900010,13280240,3320060,16600300,19103
888084362,28800,3200,32000,19103
875100110,0,1974400,1979400,19103
81053900,210090,164910,549700,19103
82117500,898100,384900,1283000,19103
888081401,180810,20090,200900,19103
888800112,1696300,192900,1929200,19103
81020601,1561972,669328,2231300,19103
888083485,285480,31720,317200,19103
81067300,427652,200348,668000,19103
888090526,31500,3500,35000,19103
83106420,382380,181020,603400,19103
888111622,276210,30690,306900,19103
888083071,170280,18920,189200,19103
888112120,154980,17220,172200,19103
83102700,338350,162150,540500,19103
888092770,352440,39160,391600,19103
83043435,633672,288628,962300,19103
881541701,1097460,470340,1567800,19103
888089676,0,124000,1240000,19103
888103301,370800,65400,436200,19103
82207400,548712,235088,783800,19103
888083429,165870,18430,184300,19103
888036092,69796,74607,573900,19103
888085418,3178400,353100,3531500,19103
888094238,560880,62320,623200,19103
888083563,316080,35120,351200,19103
882460000,527440,131860,659300,19103
888116090,386584,52716,439300,19103
888083959,206100,30400,276500,19103
888088286,421600,63000,484600,19103
888081435,348480,38720,387200,19103
871268300,2155440,538860,2694300,19103
888094586,485370,53930,539300,19103
888094334,560880,62320,623200,19103
888083165,220770,24530,245300,19103
883054600,6004000,1501000,7505000,19103
888088294,353100,52700,405800,19103
83027020,395970,186830,622800,19103
888081190,138330,15370,153700,19103
888112142,121640,17960,179600,19103
888084327,223470,24830,248300,19103
81028200,774410,331890,1106300,19103
888085101,1394000,154800,1548800,19103
888111796,110210,16690,166900,19103
888088820,171600,30200,201800,19103
888111846,150210,16690,166900,19103
888094212,505440,56160,561600,19103
888083040,246110,31790,317900,19103
888083554,172040,23560,235600,19103
882404505,2469760,617440,3087200,19103
888085151,464000,51500,515500,19103
881526800,872480,373920,1246400,19103
888083457,409860,45540,455400,19103
57038400,0,213685,890700,19103
83103004,452691,211109,703800,19103
888086755,711700,79000,790700,19103
82193400,632350,288150,960500,19103
888092694,604890,67210,672100,19103
888112120,154980,17220,172200,19103
888085013,209100,23200,232300,19103
